Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
538,Pablo Vegetti,ar ARG,AT,Club Atlético Belgrano,34-124,1988,2.9,3,13,3,231,452,104,023,100,,0,0,Partidas,06cc28cd
539,Gustavo Velásquez,py PAR,ZG,Newell's OB,31-305,1991,2.6,0,3,2,667,115,077,000,000,,0,0,Partidas,b99b4cf5
540,Alejo Véliz,ar ARG,AT,Rosario Cent,19-150,2003,1.3,1,5,2,400,395,158,020,050,,0,0,Partidas,3f7bafbe
541,Federico Vera,ar ARG,ZG,CA Unión,24-329,1998,2.6,0,3,0,00,114,000,000,,,0,0,Partidas,dc93fa94
542,Gastón Verón,ar ARG,AT,Argentinos Jun,21-299,2001,2.7,0,10,4,400,377,151,000,000,,0,0,Partidas,e5a62424
543,Federico Versaci,ar ARG,LT,Defensa y Just,21-000,2002,0.7,0,0,0,,000,000,,,,0,0,Partidas,15e05a6f
544,Sebastián Villa,co COL,AT,Boca Juniors,26-273,1996,2.5,0,6,3,500,236,118,000,000,,0,0,Partidas,df454699
545,Rodrigo Villagra,ar ARG,LT,Talleres,22-002,2001,2.7,0,3,1,333,113,038,000,000,,0,0,Partidas,b39ae7e1
546,Lucas Villalba,ar ARG,ZG,Argentinos Jun,28-181,1994,3.0,0,3,0,00,100,000,000,,,0,0,Partidas,2dc5144f
547,Julián Viollaz,ar ARG,AT,Barracas Central,20-188,2002,0.3,0,0,0,,000,000,,,,0,0,Partidas,27861765
548,Andrés Vombergar,si SVN,LTAT,San Lorenzo,28-088,1994,2.3,1,8,4,500,344,172,013,025,,0,0,Partidas,71910d3e
549,Franco Watson,ar ARG,LTAT,Instituto Atlético Central Córdoba,23-046,2000,2.2,0,2,0,00,091,000,000,,,0,0,Partidas,0d7ad669
550,Nicólas Watson,ar ARG,LT,Instituto Atlético Central Córdoba,24-270,1998,0.1,0,0,0,,000,000,,,,0,0,Partidas,600cb6b1
551,Cristian Zabala,ar ARG,LT,Tigre,24-349,1998,1.0,0,2,0,00,202,000,000,,,0,0,Partidas,bb967f0b
552,David Zalazar,ar ARG,LT,Talleres,20-283,2002,0.2,0,0,0,,000,000,,,,0,0,Partidas,4aeb00f4
553,Maximiliano Zalazar,ar ARG,LT,Platense,21-345,2001,1.7,0,4,0,00,237,000,000,,,0,0,Partidas,e374a7f5
554,Bruno Zapelli,ar ARG,LT,Club Atlético Belgrano,20-275,2002,2.3,0,2,1,500,085,043,000,000,,0,0,Partidas,a70af595
555,Franco Zapiola,ar ARG,LT,Estudiantes,21-362,2001,1.2,0,2,1,500,170,085,000,000,,0,0,Partidas,7b0f7577
556,Tobías Zarate,ar ARG,AT,Arsenal,22-224,2000,0.2,0,0,0,,000,000,,,,0,0,Partidas,5244b91d
557,Exequiel Zeballos,ar ARG,AT,Boca Juniors,20-298,2002,0.4,0,2,1,500,462,231,000,000,,0,0,Partidas,02f9fb61
558,Nadir Zeineddin,ar ARG,AT,Platense,22-277,2000,0.1,0,0,0,,000,000,,,,0,0,Partidas,fcc235f4
559,Kevin Zenon,ar ARG,LT,CA Unión,21-201,2001,2.4,0,4,3,750,168,126,000,000,,0,0,Partidas,8f0d8b0a
560,Bruno Zuculini,ar ARG,LT,River Plate,29-320,1993,0.2,0,0,0,,000,000,,,,0,0,Partidas,17cddb4d
561,Fernando Zuqui,ar ARG,LT,Estudiantes,31-081,1991,0.4,0,0,0,,000,000,,,,0,0,Partidas,d4814e00
